"Date","Topic","Reading","participate","callout","agenda1","agenda2","agenda3","agenda4","agenda5","due_ymd","due","Week","date_ymd","Slides","Activity","submit_act","Tutorial","Lectures","Solutions","Solution_video","reading_hw"
"Mon Feb 12","Normal Distributions","[Sections 9.0 - 9.1](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","[Complete Course Survey 2](https://canvas.northwestern.edu/courses/204767/quizzes/225311)","[Act 14 Solution Check](https://canvas.northwestern.edu/courses/201484/quizzes/217348)","","","",2024-02-13,"Tue Feb 13","7",2024-02-12,"[Slides: Ch9.1](/slides/lec14.html)","[Posit: act_14](https://posit.cloud/spaces/321338/content/5176492)","[Canvas: act_14](https://canvas.northwestern.edu/courses/204767/assignments/1328780)","[Canvas: RC_14](https://canvas.northwestern.edu/courses/204767/assignments/1328838)","[Lecture 15: Distributions](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1a552f92-7185-411d-898d-af43012edc16)","[Activity 14 Solution](/documents/solutions/solution_act_14.pdf)","","[Sections 9.2 - 9.3](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)"
"Wed Feb 14","Sampling Distributions","[Sections 9.2 - 9.3](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-02-15,"Thu Feb 15","",2024-02-14,"[Slides: Ch9.2-9.3](/slides/lec15.html)","[Posit: act_15](https://posit.cloud/spaces/321338/content/5176493)","[Canvas: act_15](https://canvas.northwestern.edu/courses/204767/assignments/1328781)","[Canvas: RC_15](https://canvas.northwestern.edu/courses/204767/assignments/1328839)","[Lecture 16: Sampling I](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7160f07a-338c-4b08-a6e3-af4400d5a295)","[Activity 15 Solution](/documents/solutions/solution_act_15.html)","[Activity 15 video](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=df4c4f5a-3ef7-4fc2-8411-b03d01027790)","[Sections 9.4 - 9.7](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)"
"Fri Feb 16","Sampling Distributions","[Sections 9.4 - 9.7](https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-02-18,"Sun Feb 18","",2024-02-16,"[Slides: Ch9.4+](/slides/lec16.html)","[Posit: act_16](https://posit.cloud/spaces/321338/content/5176494)","[Canvas: act_16](https://canvas.northwestern.edu/courses/204767/assignments/1328782)","[Canvas: RC_16](https://canvas.northwestern.edu/courses/204767/assignments/1328840)","[Lecture 17: Sampling II](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4f85d29e-cb66-4c1e-8c5c-af470157bcc2)","[Activity 16 Solution](/documents/solutions/solution_act_16.html)","[Activity 16 video](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=188da138-4b05-4b0d-b3bb-b03d010335c0)","[Chapter 10](https://nustat.github.io/intro-stat-data-sci/10-confidence-intervals.html)"
"Mon Feb 19","Confidence Intervals","[Chapter 10](https://nustat.github.io/intro-stat-data-sci/10-confidence-intervals.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-02-20,"Tue Feb 20","8",2024-02-19,"[Slides: Ch10a](/slides/lec17.html)","[Posit: act_17](https://posit.cloud/spaces/321338/content/5176495)","","[Canvas: RC_17](https://canvas.northwestern.edu/courses/204767/assignments/1328841)","[Lecture 18: CI I](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=185462e3-4ac9-4bf9-ac39-b03b01545d89)","","",""
"Wed Feb 21","Confidence Intervals","","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-02-22,"Thu Feb 22","",2024-02-21,"[Slides: Ch10b](/slides/lec18.html)","[Posit: act_17 (cont'd)](https://posit.cloud/spaces/321338/content/5176495)","[Canvas: act_17](https://canvas.northwestern.edu/courses/204767/assignments/1328783)","","[Lecture 19: CI II](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0d28b381-11b3-4c61-8ee4-b03c00d4f5ca)","[Activity 17 Solution](/documents/solutions/solution_act_17.html)","[Activity 17 video](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=610aedba-3180-4c47-81bf-b03d013e11b8)","[Chapter 11](https://nustat.github.io/intro-stat-data-sci/11-p-values.html)"
"Fri Feb 23","P-values","[Chapter 11](https://nustat.github.io/intro-stat-data-sci/11-p-values.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-02-25,"Sun Feb 25","",2024-02-23,"[Slides: Ch11](/slides/lec19.html)","[Posit: act_18](https://posit.cloud/spaces/321338/content/5176496)","[Canvas: act_18](https://canvas.northwestern.edu/courses/204767/assignments/1328784)","[Canvas: RC_18](https://canvas.northwestern.edu/courses/204767/assignments/1328842)","[Lecture 19: P-values](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=778c534f-ca9d-41f2-946e-b03c00f7adf0)","[Activity 18 Solution](/documents/solutions/solution_act_18.html)","[Activity 18 video](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fa604a30-db8f-4e91-b694-b03d01474cbb)","[Chapter 12](https://nustat.github.io/intro-stat-data-sci/12-hypothesis-tests.html)"
"Mon Feb 26","Hypothesis Testing I","[Chapter 12](https://nustat.github.io/intro-stat-data-sci/12-hypothesis-tests.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-02-27,"Tue Feb 27","9",2024-02-26,"[Slides: Ch12a](/slides/lec20.html)","[Posit: act_19](https://posit.cloud/spaces/321338/content/5176497)","[Canvas: act_19](https://canvas.northwestern.edu/courses/204767/assignments/1328785)","[Canvas: RC_19](https://canvas.northwestern.edu/courses/204767/assignments/1328843)","[Lecture 20: Hypothesis I](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=605e82bf-dceb-44e8-945c-af4e015a9981)","[Activity 19 Solution](/documents/solutions/solution_act_19.html)","[Activity 19 video](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5c190f21-dfc2-41f7-ac5c-b04200d258b7)",""
"Wed Feb 28","Hypothesis Testing II","","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-02-29,"Thu Feb 29","",2024-02-28,"[Slides: Ch12b](/slides/lec21.html)","[Posit: act_20](https://posit.cloud/spaces/321338/content/5176498)","","","[Lecture 21: Hypothesis II](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f9470271-809b-43de-959f-af4e0168bc23)","","",""
"Fri Mar 01","Hypothesis Testing III","","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","Study for Exam 3","","","","","",2024-03-03,"Sun Mar 03","",2024-03-01,"","[Posit: act_20 (cont'd)](https://posit.cloud/spaces/321338/content/5176498)","[Canvas: act_20](https://canvas.northwestern.edu/courses/204767/assignments/1328786)","","","[Activity 20 Solution](/documents/solutions/solution_act_20.html)","[Activity 20 video](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c4ded6ae-66ea-4136-958e-b04200e66b74)",""
"Mon Mar 04","Exam 3","","","","[Take Exam](https://posit.cloud/spaces/321338/content/5176507)","[Submit Exam](https://canvas.northwestern.edu/courses/204767/assignments/1328818)","","","",2024-03-05,"Tue Mar 05","10",2024-03-04,"","","","","","","",""
"Wed Mar 06","Project Overview","","","","[Complete Course Survey 3](https://canvas.northwestern.edu/courses/204767/quizzes/225312)","","","","",2024-03-07,"Thu Mar 07","",2024-03-06,"","Remote on Zoom","","","","","",""
"Fri Mar 08","Reading Period - No Class","","","","Final Project due Sunday 11:59pm","","","","",2024-03-10,"Sun Mar 10","",2024-03-08,"","Remote OH on Zoom","","","","","",""
"Sun Mar 10","Final project due Sunday 11:59pm","","","","","","","","",2024-03-11,"Mon Mar 11","",2024-03-10,"","","","","","","",""
"Fri Mar 15","Optional Final Exam: 9am","","","","","","","","",2024-03-17,"Sun Mar 17","11",2024-03-15,"","Remote on Zoom","","","","","",""
