Date,Topic,activity_icon,agenda1,agenda2
9/25/2024,class_start,,,
11/25/2024,class_end,,,
11/27/2024,Thanksgiving - No Class,,,
12/2/2024,Reading Period - No Class,,,
12/4/2024,Reading Period - No Class,Remote OH on Zoom,Final Project due Monday 11:59pm,
12/6/2024,Reading Period - No Class,Remote OH on Zoom,,
12/9/2024,Final project due Monday 11:59pm,,,
12/12/2024,Optional Final Exam: 3 pm central time,Remote on Zoom,,
